"Var1"	"n"
"1"	"0"	10
"2"	"douteux anti-HLA I et II"	1
"3"	"douteux anti-HLA II"	2
"4"	"douteux en Ac HLA I et II"	1
"5"	"positif anti classe I et II"	1
"6"	"positif anti classe II"	1
"7"	"positif antiHLA II"	2
"Var1"	"n"
"1"	"0"	0.555555555555556
"2"	"douteux anti-HLA I et II"	0.0555555555555556
"3"	"douteux anti-HLA II"	0.111111111111111
"4"	"douteux en Ac HLA I et II"	0.0555555555555556
"5"	"positif anti classe I et II"	0.0555555555555556
"6"	"positif anti classe II"	0.0555555555555556
"7"	"positif antiHLA II"	0.111111111111111
"Var1"	"n"
"1"	"0"	10
"2"	"douteux anti-HLA I et II"	1
"3"	"douteux anti-HLA II"	2
"4"	"douteux en Ac HLA I et II"	1
"5"	"positif anti classe I et II"	1
"6"	"positif anti classe II"	1
"7"	"positif antiHLA II"	2
