"Var1"	"n"
"1"	"0"	10
"2"	"altérations villositaires, pathologie dysgravidique"	1
"3"	"avance de maturation, pas d'autre lésion"	2
"4"	"cordon spiralé, avance de maturation"	1
"5"	"hypotrophie globale modérée sans lésion vasculaire constituée"	1
"6"	"hypotrophie, altérations villositaires caractéristiques d'une pathologie toxémique"	1
"7"	"infarctus placentaire, toxemie gravidique"	1
"8"	"malperfusion vasculaire maternelle et fœtale, cordon long"	1
"9"	"pas de signe d'hypoxie, pas de lésion"	1
"10"	"pathologie dysgravidique, artère ombilicale unique"	1
"11"	"placenta immature, sans élément lésionnel"	1
"12"	"placentas hypotrophiques"	1
"Var1"	"n"
"1"	"0"	0.454545454545455
"2"	"altérations villositaires, pathologie dysgravidique"	0.0454545454545455
"3"	"avance de maturation, pas d'autre lésion"	0.0909090909090909
"4"	"cordon spiralé, avance de maturation"	0.0454545454545455
"5"	"hypotrophie globale modérée sans lésion vasculaire constituée"	0.0454545454545455
"6"	"hypotrophie, altérations villositaires caractéristiques d'une pathologie toxémique"	0.0454545454545455
"7"	"infarctus placentaire, toxemie gravidique"	0.0454545454545455
"8"	"malperfusion vasculaire maternelle et fœtale, cordon long"	0.0454545454545455
"9"	"pas de signe d'hypoxie, pas de lésion"	0.0454545454545455
"10"	"pathologie dysgravidique, artère ombilicale unique"	0.0454545454545455
"11"	"placenta immature, sans élément lésionnel"	0.0454545454545455
"12"	"placentas hypotrophiques"	0.0454545454545455
"Var1"	"n"
"1"	"0"	10
"2"	"altérations villositaires, pathologie dysgravidique"	1
"3"	"avance de maturation, pas d'autre lésion"	2
"4"	"cordon spiralé, avance de maturation"	1
"5"	"hypotrophie globale modérée sans lésion vasculaire constituée"	1
"6"	"hypotrophie, altérations villositaires caractéristiques d'une pathologie toxémique"	1
"7"	"infarctus placentaire, toxemie gravidique"	1
"8"	"malperfusion vasculaire maternelle et fœtale, cordon long"	1
"9"	"pas de signe d'hypoxie, pas de lésion"	1
"10"	"pathologie dysgravidique, artère ombilicale unique"	1
"11"	"placenta immature, sans élément lésionnel"	1
"12"	"placentas hypotrophiques"	1
