"Var1"	"n"
"1"	"0"	21
"2"	"oui 30SA, dégradation fonction réle et protéinurie, fibrose interstielle atrophie tubulaire, pas de rejet"	1
"3"	"oui 31SA, dégradation fonction réle isolée, rejet aigu borderline"	1
"4"	"post partum : fibrose interstitielle et atrophie tubulaire"	1
"5"	"post partum : fibrose interstitielle et atrophie tubulaire, toxicité chronique des anticalcineurines"	1
"6"	"post partum novembre 2017 : pas de rejet cellulaire ou humoral"	1
"7"	"post partum octobre 2012 : fibrose interstitielle, atrophie tubulaire"	1
"8"	"prévue à 32SA mais annulée après écho réle : dilatation des CPC, sonde JJ"	1
"Var1"	"n"
"1"	"0"	0.75
"2"	"oui 30SA, dégradation fonction réle et protéinurie, fibrose interstielle atrophie tubulaire, pas de rejet"	0.0357142857142857
"3"	"oui 31SA, dégradation fonction réle isolée, rejet aigu borderline"	0.0357142857142857
"4"	"post partum : fibrose interstitielle et atrophie tubulaire"	0.0357142857142857
"5"	"post partum : fibrose interstitielle et atrophie tubulaire, toxicité chronique des anticalcineurines"	0.0357142857142857
"6"	"post partum novembre 2017 : pas de rejet cellulaire ou humoral"	0.0357142857142857
"7"	"post partum octobre 2012 : fibrose interstitielle, atrophie tubulaire"	0.0357142857142857
"8"	"prévue à 32SA mais annulée après écho réle : dilatation des CPC, sonde JJ"	0.0357142857142857
"Var1"	"n"
"1"	"0"	21
"2"	"oui 30SA, dégradation fonction réle et protéinurie, fibrose interstielle atrophie tubulaire, pas de rejet"	1
"3"	"oui 31SA, dégradation fonction réle isolée, rejet aigu borderline"	1
"4"	"post partum : fibrose interstitielle et atrophie tubulaire"	1
"5"	"post partum : fibrose interstitielle et atrophie tubulaire, toxicité chronique des anticalcineurines"	1
"6"	"post partum novembre 2017 : pas de rejet cellulaire ou humoral"	1
"7"	"post partum octobre 2012 : fibrose interstitielle, atrophie tubulaire"	1
"8"	"prévue à 32SA mais annulée après écho réle : dilatation des CPC, sonde JJ"	1
